sentence,relation,head,head_offset,tail,tail_offset
虽然香港还未真正回归，但是香港当时红极一时的歌星已经来春晚的舞台上表演了，听香港歌星唱歌也是当时年轻人的新时尚：确实能感受到一种别样的风情：毛阿敏的《思念》，当时红极一时的流行歌，这是她第一次登上春晚：这一年登上春晚的还有寒假必备《西游记》剧组：附赠一枚彩蛋，现在出演《羞羞的铁拳》，当时才六岁的常远，和爷爷常宝华一起说相声，也是real可爱了，这也是他第一次登上春晚：1988的你可能还没出生，但是那一年的春晚足够精彩，1998年的春晚，小妹相信已经有不少小伙伴是在吃手手中看完的，其中就包括正在写稿的小妹我,歌手,毛阿敏,70,思念,75
《端脑》改编自有妖气同名漫画《端脑》，是由搜狐视频、有妖气、留白影视出品，于中中执导，朱元冰、蒋依依、杨奇煜、黄一琳、谢佳见、赵奕欢等人主演的科幻悬疑网络剧,主演,端脑,1,蒋依依,47
年油画家杨飞云调回中央美术学院油画系任教,毕业院校,杨飞云,4,中央美术学院,9
一直到三年后，小虫写了首《心太软》，找不到适合的人来唱，才注意废闲三年的跟他的任贤齐，身上悲剧色彩和歌词很搭，然后交给他来唱，一炮而红,歌手,心太软,13,任贤齐,39
寻虎村是属于河北省巨鹿县西部的一个村庄，全村总面积3.8平方公里，总人口38326人,面积,寻虎村,0,3.8平方公里,25
《如影随形》是小说，作者冯华，定价16元,作者,如影随形,1,冯华,12
陈清桂简介陈清桂(1807～1883年)，原名龙超，号远馨，出生于福州市连江城关名医世家，为七世传人,出生地,陈清桂,0,福州市连江城关,33
按理以侯佩岑老公家传闻中的台湾信义区大地主拥有数万土地的资产，在加上侯佩岑老公黄伯俊是花旗银行环球证券销售副总裁的身份，三百多万的债务应该不成问题，不至于欠债四年多不还导致被捅出来呀,丈夫,侯佩岑,3,黄伯俊,39
"德梅特里斯·尼克尔斯（1984年9月4日—）出生于美国马萨诸塞州波士顿（boston, massachusetts），美国职业篮球运动员，司职小前锋，效力于nba犹他爵士队",出生日期,德梅特里斯·尼克尔斯,0,1984年9月4日,11
《命运的轮转》是连载于起点中文网的网络小说，作者是风渡天涯,连载网站,命运的轮转,1,起点中文网,11
还有宋冬野的成名作《董小姐》，它的那句“爱上一匹野马，而我的家里没有草原,歌手,宋冬野,2,董小姐,10
1987年，巩俐毕业于中央戏剧学院，十分幸运成为了第一个“谋女郎”之后一炮而红的巩俐与张艺谋不断合作，巩皇一共主演了《大红灯笼高高挂》《秋菊打官司》《活着》《满城尽带黄金甲》《归来》等8部老谋子的电影,主演,巩俐,6,秋菊打官司,68
2013年大年初五，《新闻联播》以“家风”为主题到台湾采访黄国伦和寇乃馨夫妇，黄国伦当场弹唱了《我愿意》，新闻长达两分钟,妻子,黄国伦,29,寇乃馨,33
李纲李纲（1083年7月27日－1140年2月5日），字伯纪，号梁溪先生，常州无锡人，祖籍福建邵武,号,李纲,0,梁溪先生,32
y近年来的作品确实不如以前那么多，一二三四五部曲也没什么兴致去写，但作品少不代表不精，谢安琪的山林道(放寒假时的起床曲)，juno的罗生门，容祖儿的双子座，ho菇的亲爱的黑色 (最近df演唱会的主题就是黑色，y再一次交给了菇一份满意的答卷，传说中的默契) ，刘浩龙的第三条跑道(我不是故意把他仨放一块的，不论人品的话刘浩龙有几首歌也很不错，而且第三条跑道真的是首很值得去用心听的歌)，薛凯琪的十年后的我(用我十年歌声，来赴你十年之约，正应验了那句 十年又过去，举止仍像少女)，周国贤的今生不回家，twins的虚龄时代(没有别的评价，这歌词真是绝了)，张敬轩的不同班同学，郑欣宜的女神,歌手,薛凯琪,192,十年后的我,196
刘昌政，男，汉族，1963年4月生，广东阳东人，1980年9月参加工作，1988年2月入党，党校大学学历，曾任广东省阳江市阳东区人大常务副主任,出生日期,刘昌政,0,1963年4月,9
《小闲事》是2009年武汉出版社出版的图书，作者是赵瑜,出版社,小闲事,1,武汉出版社,11
歌曲简介歌曲《奴隶船》是蔡依林专辑《看我72变》中的歌曲，作词是陈镇川，作曲是薛忠铭,作词,奴隶船,7,陈镇川,32
唐宏波，男，汉族，1969年10月生，陕西宝鸡人，1996年3月加入中国共产党，1991年8月参加工作，大学学历，工学学士,民族,唐宏波,0,汉族,6
《动荡未定》是2012年中国经济出版社出版的图书，作者是钟伟//顾弦,作者,动荡未定,1,钟伟,28
聚焦男主人公吴争的机长生涯，从工作过程中可能遇到的摩擦起笔，放大了一名机长“高空之上的无尽责任”与“落地之后的男孩人生”刘烨、雷佳音为老男人正名，什么老男人，人是old boy~江苏卫视《利刃出击》2月27日登陆江苏卫视，电视剧版的《红海行动》，杨烁、牟星、范雷、翟小兴、杜志国主演，《我是特种兵》系列的导演刘猛自编自导，讲述武警某部队突击大队长刘闯深得上级器重，组建了“猎豹”反恐突击队，与女特种兵的“女娲”突击队强强联合，打击恐怖组织的故事,导演,我是特种兵,143,刘猛,154
《自己的故事》是由李玲玉演唱的一首歌曲，收录在《电影 第九号悬案》专辑里,所属专辑,自己的故事,1,电影 第九号悬案,24
陈继来出生于1942年，1960年进入省队，1962年入选国家队，1970年退役，1974年担任省举重队总教练,出生日期,陈继来,0,1942年,6
顺流逆流是蔡国权创作并主唱的一首歌,作曲,顺流逆流,0,蔡国权,5
北京西博思投资管理有限公司于2015年05月07日在北京市工商行政管理局朝阳分局登记成立,成立日期,北京西博思投资管理有限公司,0,2015年05月07日,14
人物介绍王广华，1954年出生于山东省枣庄,出生日期,王广华,4,1954年,8
李存勖刚即位时，潞州城正在被梁军围攻，李存勖戴孝出师解围，兵过三垂冈时，想起父亲当年说过的话，而此时也恰好是李克用说的二十年后，李存勖指着此处对将士们说：此先王置酒之处,父亲,李存勖,0,李克用,54
金平日，也作金平一（朝鲜语：김평일），男，朝鲜人，1954年8月10日出生，前朝鲜国防委员长金正日同父异母的弟弟，也是前领导人金日成的次子,父亲,金正日,46,金日成,63
毕世杰、金喜在：《中国社会主义建设》第三章、第六章，教材，吉林教育出版社，长春，1993年6月版,国籍,金喜在,4,中国,9
《汗牛养生馆第1季》是2009年广东人民出版社出版的图书，作者是利盛莉,出版社,汗牛养生馆第1季,1,广东人民,16
可作为观红海马夫鱼（heniochus intermedius），又称红海关刀，属鲈形目蝴蝶鱼科、马夫鱼属，为一种热带海域珊瑚礁鱼类,目,红海马夫鱼,4,鲈形目,41
《儿童饮食教育卡通图典》是2000年广西科学技术出版社出版的图书，作者是山崎文雄，翻译曾小华,作者,儿童饮食教育卡通图典,1,山崎文雄,36
唐乃康，字伯耆，浙江吴兴（今湖州）人，毕业于复旦公学、浙江高等学堂,毕业院校,唐乃康,0,复旦公学,22
杨宁国，男，汉族，38岁，中共党员，专科学历，现任彭阳县文物管理所长、文博副研究员,民族,杨宁国,0,汉族,6
[音乐]孙燕姿-克卜勒,歌手,孙燕姿,4,克卜勒,8
《分手做朋友》是一首由歌手星弟演唱的原创歌曲,作曲,分手做朋友,1,星弟,13
《上海大风暴》是2006年1月李歇浦执导电视剧,导演,上海大风暴,1,李歇浦,15
《国徽》是由国家广电总局电影卫星频道节目制作中心出品的历史类电影，影片由孙维民、刘鉴、宫筱轩等主演,主演,国徽,1,刘鉴,40
《人生七年》（英文原名《7 up》）由迈克尔·艾普特执导，bruce balden 、jacqueline bassett 、symon basterfield等出演的一部由itv出品的纪录片,主演,人生七年,1,bruce balden,29
人物经历吴海军，江苏南通如东人，1990年7月本科毕业于江苏教育学院（今江苏第二师范学院）数学系，获得学士学位,出生地,吴海军,4,江苏,8
陈群，字长文，颍川许昌人，隶属于豫州刺史部，这也是刘备能遇到陈群的原因,字,陈群,0,长文,4
为你歌曲 - 郭经纬,歌手,为你歌曲,0,郭经纬,7
彭允太，男，汉族，1939毕业于江苏省泰兴中学，1940年加入中国共产党,民族,彭允太,0,汉族,6
《我们能不能》是林天爱的音乐作品，收录在《林天爱.全创作集》专辑中,所属专辑,我们能不能,1,林天爱.全创作集,21
《弃女奋斗史》是连载于17k小说网的一部历史传奇小说，作者是流崖草,作者,弃女奋斗史,1,流崖草,30
白翅厚嘴霸鹟是雀形目霸鹟科鸟类，分布于美洲大陆,目,白翅厚嘴霸鹟,0,雀形目,7
离婚之后的王菲又投入到旧爱谢霆锋的怀抱，而李亚鹏则独自带着女儿生活，不过由于李嫣的存在，两人一直还保持着联系,父亲,李亚鹏,21,李嫣,38
"”———出自网易云音乐容祖儿《烟霞》热评如果你有一天爱上一个人,他对你爱理不理 欠缺热情,对于你的主动和问候总是敷衍了事,他好像永远不把你当回事,你会开始难受,对他又爱又恨,抱怨自己为什么会极度渴望他的回应,为什么会在乎如此冷漠的他 却死死放不开.请你记住这种进一步退一步都难过的感觉,那就是我曾经爱过你的感觉.——网易云热评《原来她不够爱我》初中那会我通宵白天睡觉，你帮我打饭，晚自习教我课程",歌手,容祖儿,11,烟霞,15
《蜗居时代》由李雪艳编剧，黄经伟执导，老戏骨廖学秋、傅艺伟、徐东生、霍亚明联袂出演,主演,蜗居时代,1,廖学秋,22
制片人后，苏有朋开始尝试当导演，他执导的作品《左耳》不仅获得5亿这样不俗的票房，还收获不错的口碑，不仅上第20届华鼎奖电影50强，还收获了不少其他奖,导演,苏有朋,5,左耳,23
《一本书掌握心理学》是2010年4月外文出版社出版的图书，作者是万小遥,出版社,一本书掌握心理学,1,外文出版社,18
《考研英语冲刺热点作文50篇-高教版》是2009年12月中国出版集团世界图书出版公司出版的图书，作者是曾呜,出版社,考研英语冲刺热点作文50篇,1,世界图书出版公司,34
《纯真年代》是李宇春演唱的一首单曲，是为深圳卫视节目《年代秀》特意创作的主题曲，发行于2011年8月26日，由谭伊哲作词，科尔沁夫作曲,作词,纯真年代,1,谭伊哲,55
深圳市文艺评论家协会成立于1995年11月，第一届协会主席张俊彪，会员33人,成立日期,深圳市文艺评论家协会,0,1995年11月,13
丁春生，男，汉族，1969年08月出生， 黑龙江省富裕县人，1991年07月参加工作，2000年07月加入中国共产党，中共黑龙江省委党校经济管理专业，研究生、管理学硕士,民族,丁春生,0,汉族,6
"严山山,上海人，生于1976年11月,记者、编辑，明代著名散文家归有光（震川先生）嫡系后裔，世代居于上海",出生地,严山山,0,上海,4
中锋1米97的韩旭得到10分11个篮板5次盖帽1次抢断,身高,1米97,2,韩旭,7
黄鹤，女，汉族，1978年3月出生，2000年3月参加工作，2002年9月加入中国共产党，吉林农业大学农村与区域经济发展专业,民族,黄鹤,0,汉族,5
还有一位非常推荐的人就是徐佳莹啦，她唱的歌也是非常非常好听哦，《身骑白马》《莉莉安》《不醉不会》《咕叽咕叽》《远走高飞》什么风格的都有，但都很好听,歌手,徐佳莹,12,身骑白马,32
曹丕，字子桓，与曹彰，曹植等皆为卞夫人之子，曹丕能文能武，富有心机，在曹操诸子中最终夺得太子之位，是曹魏的开国皇帝，能力其实不错，就是人品太次,字,曹丕,0,子桓,4
《马警长的故事》由臧里出任总编剧，董爱军担任导演，安徽电视台五星东方影视公司、深圳博鳌文化传媒公司和中央电视台共同制作,编剧,马警长的故事,1,臧里,9
内蒙古富宝源煤业有限责任公司于2006年11月17日在呼和浩特市工商行政管理局登记成立,成立日期,内蒙古富宝源煤业有限责任公司,0,2006年11月17日,15
参加《快乐女声》比赛佟晓雅来自四川音乐学院,毕业院校,佟晓雅,10,四川音乐学院,15
2007年凭借执导的莫文蔚的专辑《如果没有你》中的歌曲《天下大同》获得第18届台湾金曲奖最佳音乐录像带导演奖,所属专辑,如果没有你,17,天下大同,28
"javary jean philippe,法国籍足球运动员",国籍,javary jean philippe,0,法国,21
比如说在《爱情公寓》中扮演胡一菲的娄艺潇，她在演了胡一菲这个霸气，敢爱敢恨的形象之后，再演什么古装剧苦情去，苦情戏让观众纷纷跳戏，忍不住想起《爱情公寓》里她的角色，阻碍了她在演艺圈继续发展，使得戏路越来越窄，导致最后没有办法接戏,主演,爱情公寓,5,娄艺潇,17
网友纷纷表示心疼王劲松老师，他这样的水准不应该接拍这样的剧集，不过看看《新笑傲江湖》的导演也许可以明白，导演金琛曾执导过《麻雀》，王劲松老师在里面饰演李默群一角,导演,金琛,54,麻雀,61
《我的完美恋情》是连载于17k小说网的一部热血青春小说，作者是涂红的指甲绚烂我的颓废,作者,我的完美恋情,1,涂红的指甲绚烂我的颓废,31
《超级玛丽》是田馥甄演唱的歌曲，作词：蓝小邪 作曲：梁永泰，王知音,歌手,超级玛丽,1,田馥甄,7
北京朔方尚德科技发展有限公司为新型的现代高科技股份制企业，公司注册在北京中关村开发区昌平园区，2010年在昌平兴寿投资5000万人民币，建立新的食品研发中心和制造中心,成立日期,北京朔方尚德科技发展有限公司,0,2010年,47
《马哈迪传 》是1997年1月在广州出版社出版的书籍，作者是马哈迪,出版社,马哈迪传,1,广州出版社,16
1编辑推荐姜春香主编的《出路就在思路拐弯处》内容介绍：有的人终其一生都在做领导，而且还在不断地高升：有的人做了一辈子的失败者，一生蹉跎,作者,姜春香,5,出路就在思路拐弯处,12
任贤齐祖籍湖北武汉，1990年，发行音乐合辑《奔向彩虹》以歌手的身份正式出道,歌手,任贤齐,0,奔向彩虹,23
《高意识系男子1》由河原揺，金泽友也执导，安达奈绪子，神田优编剧，主要演员伊藤步 ，林遣都 ，骏河太郎，佐津川爱美 ，松方弘树，大地真央等,主演,高意识系男子,1,松方弘树,59
基本信息董强刚，男，1983年毕业于浙江大学医学院（原浙江医科大学）医学系，获医学学士学位,毕业院校,董强刚,4,浙江大学,18
王德言，南京工学院本科毕业,毕业院校,王德言,0,南京工学院,4
托克托嘉和煤炭物流综合开发有限公司成立于2013年1月，位于：内蒙古自治区呼和浩特市托克托县新营子镇豆腐夭村,成立日期,托克托嘉和煤炭物流综合开发有限公司,0,2013年1月,20
由华策克顿旗下上海好剧影视发行有限公司、中南文化北京千易时代文化传媒有限公司、爱奇艺联合出品，刘俊杰执导，高蓉蓉编剧，刘烨、林依晨、雷佳音、胡先煦、郭姝彤、李建义等主演的电视剧《老男孩》，今日曝光“倾·清心”版定档海报，海报中刘烨沉稳而又不失帅气，old boy的眼神杀意味深长、饱含故事,主演,林依晨,62,老男孩,89
《末代天师》是由岑国荣导演，杜德伟主演的一部tvb电视剧,主演,末代天师,1,杜德伟,14
《无声讯号》是香港歌手关智斌演唱的粤语歌曲，由关智斌自己作词作曲，收录于关智斌2005年的个人音乐专辑《oncoming》当中,歌手,无声讯号,1,关智斌,11
阿里创始人马云毕业于杭州师范大学,毕业院校,马云,5,杭州师范大学,10
蛤仔双壳纲(bivalvia)真瓣鳃目(eulamellibranchia)帘蛤科(veneridae)蛤仔属(ruditapes)的统称,目,蛤仔,0,真瓣鳃目,15
吴佩慈，1978年10月4日出生于中国台湾新北市，祖籍无锡，中国演员、歌手,祖籍,吴佩慈,0,无锡,27
张磊，安徽省人，2004年毕业于中国人民大学财政金融学院，金融学硕士，先后任职于中国人保、中国人寿、中国光大银行和兴业银行，金融行业从业十余年123,国籍,张磊,0,中国,16
《王爷通缉令：嫩妃哪里逃》是一部连载于新浪读书的小说，作者是蔷薇晚,作者,王爷通缉令：嫩妃哪里逃,1,蔷薇晚,30
《大唐开国》，是2007年中华书局出版的一本历史类图书，作者是刘后滨,作者,大唐开国,1,刘后滨,31
（二）信件劳埃德一九四八年七月八日讨论三方合同补充修订内容，附以合同修订条款数页的来信，以及他（代理人）、老舍（作者）和浦爱德（译者）共同签署的《四世同堂》英译版权代理合同,作者,老舍,53,四世同堂,73
《星空的传说》是一部在17k小说网连载的小说，作者是浮木小生,作者,星空的传说,1,浮木小生,26
"《邓广铭治史丛稿》(邓广铭,著)（北京大学出版社1997）",作者,邓广铭治史丛稿,1,邓广铭,1
《默与犬逗》是一部在云中书城连载的小说，作者是犬犬,连载网站,默与犬逗,1,云中书城,10
简介张发旺 研究员，1986年毕业于河北地质学院水工系，1996年在中国地质大学（北京）攻读硕士学位，2000年获得中国地质大学水文水资源专业博士学位,毕业院校,张发旺,2,河北地质学院,18
《火影之青梅已死》是佐阿青创作的网络小说，发表于晋江文学网,连载网站,火影之青梅已死,1,晋江文学网,24
主要经历：杨志强，男，汉族，1958年8月出生，北京西城人，1977年2月参加工作，1983年12月加入中国共产党，大学文化程度，经济学学士学位，高级经济,出生日期,杨志强,5,1958年8月,14
《居民防空防灾应急手册（普及读本）》是2004年原子能出版社出版的图书，作者是北京市人民防空办公室,出版社,居民防空防灾应急手册,1,原子能出版社,24
3《西湖》由刘郎导演，共10集，于2006年开始拍摄，2010年3月1日在浙江卫视首播，荣获第22届电视文艺“星光奖”电视纪录片大奖,导演,西湖,2,刘郎,6
《建筑工程施工总承包招标文件编写范本》是2004年中国建筑工业出版社出版的图书，作者是刘小强,出版社,建筑工程施工总承包招标文件编写范本,1,中国建筑工业出版社,25
泰州华健创业投资有限公司于2007年06月08日在泰州医药高新技术产业开发区市场监督管理局登记成立,成立日期,泰州华健创业投资有限公司,0,2007年06月08日,13
现湖南芒果传媒有限公司（芒果影业）总裁，开拍电视剧有《一不小心爱上你》、《另一种灿烂生活》等,出品公司,芒果影业,12,另一种灿烂生活,37
《世界如此酷，单纯要有度》是2012年中国商业出版社出版的图书，作者是李兰芳,国籍,中国,19,李兰芳,35
2016年6月24日，中国科学院西北生态环境资源研究院（筹)，(以下简称西北研究院）在兰州宣布成立,成立日期,2016年6月24日,0,中国科学院西北生态环境资源研究院,11
就是在这样的家境下，刘家4兄弟除长子刘小立高中毕业后在家务农，过早分担父母肩上的责任外，次子刘立周于1992年考入中国矿业大学，三子刘开周1995年考入沈阳工业大学，四子刘海周1996年考入南开大学,国籍,中国,57,刘开周,66
《唐诗鉴赏辞典·宋词鉴赏辞典》是高等教育出版社出版的图书，作者是张傲飞,作者,唐诗鉴赏辞典·宋词鉴赏辞典,1,张傲飞,32
《我主海洋》是在17k小说网连载的一部都市生活类小说，作者是生富,连载网站,我主海洋,1,17k小说网,8
《一生八至》是2007年中原农民出版社出版的图书，作者是王立娜,作者,一生八至,1,王立娜,28
《我的士兵兄弟》是彭丽媛演唱制作的音乐专辑，收录了《我的士兵兄弟》、《军港之夜》、《战士与母亲》、《十送红军》等歌曲,歌手,彭丽媛,9,战士与母亲,42
合作街小学位于沈阳市美丽的北运河畔，与沈阳大学、50中学毗邻，学校占地面积5806平方米，现有18个教学班，在籍学生534人，教职工55人，专任教师34人,占地面积,合作街小学,0,5806平方米,37
剧名：都市方程式类型：生活播放时间：1988年4月11日监制：潘嘉德编审：彭济材、余咏珊主演：郭富城、胡枫、南红、林利、梁洁华、梁艺龄集数：152,主演,都市方程式,3,林利,57
《你是我真心的执着》是陶晶莹&张雨生的音乐作品，收录在《天空不要为我掉眼泪》专辑中,歌手,你是我真心的执着,1,陶晶莹,11
青星美人（xpachyveria ‘dr cornelius’）隶属于木贼门木贼亚门木兰纲蔷薇亚纲虎耳草目景天科，是厚叶草属和拟石莲花属的属间杂交种,目,虎耳草目,49,厚叶草属,58
《风雨中的爱情》是新月光创作的网络小说，发表于17k小说网,连载网站,风雨中的爱情,1,17k小说网,23
《谁发出的噪声》是2010-09-01电子工业出版社出版的图书,出版社,谁发出的噪声,1,电子工业出版社,19
《千面六公主》是红狐狸琉璃写的网络小说连载于小说吧,连载网站,千面六公主,1,小说吧,22
《新标准英语单元达标ab试卷（第八册）供三年级起始用（六年级下学期用）》是2006年外语教学与研究出版社出版的图书，作者是王芳,出版社,新标准英语单元达标ab试卷（第八册）供三年级起始用（六年级下学期用）,1,外语教学与研究出版社,42
梅州地处低纬，近临南海，受太平洋和山地的特定地形影响，夏日长，冬日短，全年气温高、冷热悬殊、光照充足、气流闭塞、雨水丰盈且集中，属亚热带季风气候27,气候,梅州,0,亚热带季风气候,65
《别等我离开才说爱我》是孙嘉敏的音乐作品，小刀作曲，收录在《别等我离开才说爱我》专辑中,作曲,别等我离开才说爱我,1,小刀,21
《别这样对我》是欢子最新专辑中的第六首单曲，选择在新年之际发布,歌手,别这样对我,1,欢子,8
《极品妖孽冷九爷》是不想活又不敢死的女人创作的网络小说，发表于17k小说网,作者,极品妖孽冷九爷,1,不想活又不敢死的女人,10
《半滴泪》是杨坤在收录于专辑《真的很在乎》中的一首歌,歌手,半滴泪,1,杨坤,6
《我擦你爷爷的骚狐狸》是连载于晋江文学城的一本同人小说，作者是你妹,连载网站,我擦你爷爷的骚狐狸,1,晋江文学城,15
《轩辕剑之汉之云》是潘文杰、金沙、余蒨执导的古装玄幻剧，由张云龙、于朦胧、关晓彤、张佳宁领衔主演，高伟光、李宗霖、王瑞子、代斯等联合出演1,主演,轩辕剑之汉之云,1,高伟光,49
《又见外婆桥》是关天天编曲，高进演唱的歌曲,歌手,又见外婆桥,1,高进,14
长貂祝蛾是属鳞翅目、祝蛾科、瘤祝蛾亚科、貂祝蛾属下一个物种,目,长貂祝蛾,0,鳞翅目,6
所以现在的分类是：植物界—被子植物门—双子叶植物纲—金虎尾目—三角果科,目,金虎尾目,26,三角果科,31
落叶松八齿小蠹，ips subelongatus motschulsky，为鞘翅目（coleoptera ）小蠹科齿小蠹属的一种昆虫,目,落叶松八齿小蠹,0,鞘翅目,38
吴忠观，四川绵阳人，1930 年10月生，我国著名人口学家，教授,出生地,吴忠观,0,四川绵阳,4
5相关争议生卒争议关于吴文英的生卒年，夏承焘在《吴梦窗系年》中推断生于1200年，卒于1260年，一般文学史多从此说,出生日期,吴文英,11,1200年,35
发展历史潮流致美斋酱园创始人刘守庵生于书香之家,创始人,致美斋,6,刘守庵,14
王世华，男，汉族，江苏泰州人，1962年9月出生，研究生学历、博士学位，南京师范大学兼职教授，法学硕士研究生导师，江苏省审判业务专家，1984年7月参加工作，1984年6月入党,民族,汉族,6,苏泰,10
郑杨声，男，1930年9月生，江西省临川市人，1950年7月毕业于原江西省立医学专科学校（现江西医学院前身）,毕业院校,郑杨声,0,江西省立医学专科学校,34
郑州文化产业投资基金管理有限公司于2014年12月29日在河南省工商行政管理局登记成立,成立日期,郑州文化产业投资基金管理有限公司,0,2014年12月29日,17
杨阳，中国传媒大学播音与主持艺术专业，1,毕业院校,杨阳,0,中国传媒大学,3
《悦读江南女》是2005年厦门大学出版社出版的图书，作者是鲍贝,出版社,悦读江南女,1,厦门大学出版社,13
黄黎明，男，1971年9月出生，汉族，江苏泰兴人，1993年8月参加工作，1996年11月入党，研究生、法学硕士,出生地,黄黎明,0,江苏泰兴,19
近无毛变种，属管状花目、唇形科的一种植物,目,近无毛变种,0,管状花目,7
现场很多人前来送别，有着87版《红楼梦》的导演王扶林和许多演员,导演,红楼梦,16,王扶林,23
《炒股不亏钱的智慧》是2009年中山大学出版社出版的图书，作者是刘竞涛,出版社,炒股不亏钱的智慧,1,中山大学,16
卡特彼勒公司成立与1925年，总部位于美国伊利诺伊州，是世界上最大的工程机械和矿山设备生产厂家、燃气发动机和工业用燃气轮机械生产厂家之一，也是世界上最大的柴油机制造商,总部地点,卡特彼勒公司,0,美国,19
1989年出品的5集电视连续剧《那五》，该剧展现了那五这个八旗子弟几十年坎坷生涯中许多荒唐、可笑又可悲的故事,上映时间,1989年,0,那五,16
coffee教胡杏儿瑜伽胡杏儿 拱桥倒立辛苦胡杏儿是2015年同李乘德闪电结婚，未到两周年结婚纪念，现年38岁的胡杏儿，已经成功帮三代单传老公李乘德诞下囝囝brendan（李奕霆），杏儿从来不讳言希望抓紧时间在40岁之前要生至少两个,妻子,胡杏儿,7,李乘德,32
济南中海净化工程有限公司于2013年09月13日在济南市天桥区市场监督管理局登记成立,成立日期,济南中海净化工程有限公司,0,2013年09月13日,13
《班长下台-珍藏版》是2009年湖北少年儿童出版社出版的图书，作者是桂文亚,出版社,班长下台-珍藏版,1,湖北少年儿童出版社,16
它始建于清道光十九年（1839年），坐北朝南，由主殿麟山宫及麟山书院、报功堂、崇德堂等组成（如图），占地达6365平方米，建筑面积3070m2，为仙游境内建筑艺术最为壮观，保持文物最具有价值的历史文化古迹之一，成为莆田市南大门枫亭地区著名的旅游景点,占地面积,麟山宫,26,6365平方米,53
程正华，男，汉族，1966年9月生，湖北省孝感市人，1988年5月加入中国共产党，1991年4月参加工作，中南政法学院法律系法学理论专业毕业，硕士，研究生学历,民族,程正华,0,汉族,6
烟草属茄目，茄科一年生或有限多年生草本植物，基部稍木质化,目,烟草,0,茄目,3
刘恒甫参演了父亲刘惠宁执导的电视剧《安娜的爱人》，就一个新人而言表现的还算不错,导演,刘惠宁,8,安娜的爱人,18
因为薛顗参与唐宗室李冲的谋反，牵连到薛绍，但薛绍本人并没有参加这次谋反，是武则天觉得太平公主嫁错郎了,妻子,薛绍,18,太平公主,42
山东中医药大学附属医院教授、主任医师徐瑞荣，男，1963年8月生，汉族，山东莱西人，2005年7月毕业于天津中医学院，获博士学位,出生日期,徐瑞荣,18,1963年8月,24
2014年11月，任重主演的《和平的全盛时代》及继《北京青年》之后又一次携手张俪，出演赵宝刚的新剧《青年医生》，饰演程俊（2014年11月18日播出）,主演,张俪,38,青年医生,50
生平简介出生施雨农，1934年4月6日出生于江苏省启东县（现启东市）大生镇，  祖籍江苏省海门县（现海门市）,出生地,施雨农,6,江苏省启东县,22
《游戏编程精粹》是2003年人民邮电出版社出版出版的图书，作者是德洛拉,作者,游戏编程精粹,1,德洛拉,32
《点亮灯光》是艾拉·萨克斯执导，托尔·林德哈特，扎克瑞·布斯主演的爱情电影，于2012年9月7日在美国上映,主演,点亮灯光,1,托尔·林德哈特,16
郭良浩，男，1991年7月毕业于浙江师范大学物理系获物理专业学士学位，1994年7月毕业于北京大学电子学系获声学专业硕士学位，1999年6月毕业于中国科学院声学研究所获声学专业博士学位,毕业院校,郭良浩,0,浙江师范大学,16
1人物经历2015年9月3日，著名爱国侨领梁金山的儿子梁有成作为5位侨界嘉宾代表之一，登上天安门城楼观礼并出席招待会,父亲,梁金山,21,梁有成,27
2014年3月27日，程愫和傅程鹏夫妇携子参加浙江卫视《宝贝大猜想》节目,妻子,程愫,11,傅程鹏,14
《3月のライオン 7》是由羽海野 チカ编写的图书，于2012-3-23年在白泉社出版发行,作者,3月のライオン 7,1,チカ,17
基本简介刘德利，男，1936年11月生，山东人,出生地,刘德利,4,山东,20
说起陈思思，很多人对她的印象并不是很深刻，可对她演唱的歌曲却特别的熟悉，《吉祥歌》、《中国梦》、《祖国你在我心上》，一首首歌都犹如天籁般的动听,歌手,陈思思,2,祖国你在我心上,49
镇康县属低纬山地南亚热带季风气候，年平均气温18,气候,镇康县,0,亚热带季风气候,9
《行政处罚法的理论与实务》是法律出版社1900年出版的图书，作者是徐继敏,作者,行政处罚法的理论与实务,1,徐继敏,33
当然陈好还参演过很多经典名作，在《粉红女郎》之后，陈好还出演过一部80、90后都非常熟知的新版《天龙八部》中任性的阿紫，当然陈好师出中戏，演技自然是非常值得认可的，恐怕陈好的“万人迷”到现在很多80后观众都还记忆犹新呢~陈好除了演技之外，其长相颜值也是非常获得观众的认可的,主演,陈好,2,粉红女郎,17
曾荣祥，男，汉族，1962年11月出生，广东五华人，现任梅州市梅西水库管理局（区）副局长,民族,曾荣祥,0,汉族,6
杨绍南，男，汉族，1959年7月生，湖南湘乡人，中共党员，1976年10月参加工作，1987年武汉水运工程学院电气自动化专业毕业，2011年12月至今任宜昌市质量技术监督局党组副书记（正处级）,民族,杨绍南,0,汉族,6
兰州华路安交通设施有限责任公司坐落于兰州，是一家专业从事道路交通安全设施、停车场安全设施、智能道闸收费管理系统、高速公路安全设施、以及各类五金橡塑制品的研发设计、生产加工、批发销售、安装施工、维修服务为一体的专业综合性交通设施公司,总部地点,兰州华路安交通设施有限责任公司,0,兰州,0
王润涛，男，汉族，湖北仙桃人，1966年2月生，硕士研究生学历，历史学硕士学位，1991年7月参加工作，1987年4月加入中国共产党,出生地,王润涛,0,湖北仙桃,9
离肉科（apocreadiidae）是扁形动物门、吸虫纲、复殖吸虫目的一科,目,离肉科,0,复殖吸虫目,29
